,Venue Latitude,Venue Longitude,Venue Rating,Venue Price,City_Bologna,City_Catania,City_Florence,City_Genoa,City_Messina,City_Milan,City_Naples,City_Padua,City_Palermo,City_Rome,City_Trieste,City_Turin,City_Venice,City_Verona,Venue Category_Bakery,Venue Category_Bar,Venue Category_Bistro,Venue Category_Breakfast Spot,Venue Category_Burger Joint,Venue Category_Café,Venue Category_Chinese Restaurant,Venue Category_Cocktail Bar,Venue Category_Coffee Shop,Venue Category_Cupcake Shop,Venue Category_Deli / Bodega,Venue Category_Dessert Shop,Venue Category_Diner,Venue Category_Emilia Restaurant,Venue Category_Fast Food Restaurant,Venue Category_Food Stand,Venue Category_Gastropub,Venue Category_Ice Cream Shop,Venue Category_Indian Restaurant,Venue Category_Italian Restaurant,Venue Category_Japanese Restaurant,Venue Category_Juice Bar,Venue Category_Mediterranean Restaurant,Venue Category_Pizza Place,Venue Category_Pub,Venue Category_Restaurant,Venue Category_Sandwich Place,Venue Category_Seafood Restaurant,Venue Category_Snack Place,Venue Category_Steakhouse,Venue Category_Sushi Restaurant,Venue Category_Trattoria/Osteria,Venue Category_Vegetarian / Vegan Restaurant,Venue Category_Wine Bar
0,41.893154328120836,12.48796839836952,8.3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41.894624313352836,12.474326707965298,9.3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.894090013704094,12.500857095062907,8.1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.89943500478219,12.477359207618287,9.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,41.90557515777896,12.481655805734745,8.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,41.89827,12.475379,8.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41.91083,12.47726,7.8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,41.91036279919297,12.498212681898742,9.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.90004164812426,12.480883171716998,9.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,41.90109713415369,12.477283024221427,9.1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,41.906351416307245,12.489794790744781,8.7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,41.90031473441051,12.481900140222379,5.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,41.90364057578211,12.478072152890318,8.6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,41.90478000239905,12.483678674434065,6.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,41.90036672210634,12.473737813921165,6.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
